,address,data,fidelity,valid_portion,select
94,1+,1110,0.7828274710516201,0.6582801294664509,True
225,1+,0001,0.642645768281525,1.0,False
224,1+,0000,0.6804543695598388,1.0,False
83,1+,0011,0.783766928370398,0.6573904766863481,True
82,1+,0010,0.7921804949290946,0.6440512368847744,True
226,1+,0010,0.642886256593333,1.0,False
272,+0,0000,0.7203236565057874,1.0,False
273,+0,0001,0.694431593065837,1.0,False
274,+0,0010,0.6274470993431895,1.0,False
275,+0,0011,0.6270213828142465,1.0,False
276,+0,0100,0.6797504712553023,1.0,False
277,+0,0101,0.6620475682171773,1.0,False
279,+0,0111,0.6323839835334715,1.0,False
280,+0,1000,0.6305946930061371,1.0,False
281,+0,1001,0.6311321885912564,1.0,False
282,+0,1010,0.6478828791519019,1.0,False
284,+0,1100,0.6244275959311157,1.0,False
285,+0,1101,0.6049965851148018,1.0,False
286,+0,1110,0.6352823052209132,1.0,False
287,+0,1111,0.6605632272162391,1.0,False
278,+0,0110,0.6126632384827271,1.0,False
283,+0,1011,0.67753496098743,1.0,False
141,+0,1101,0.7450155010147509,0.6406703222063361,True
142,+0,1110,0.7467213754911409,0.6429650806642371,True
143,+0,1111,0.767476670302293,0.6572057321763888,True
128,+0,0000,0.8239697161949491,0.6650183890860109,True
129,+0,0001,0.800878440485532,0.6440539371730577,True
130,+0,0010,0.7555622005636494,0.6642544232381765,True
132,+0,0100,0.7809991486065623,0.6558970418546015,True
133,+0,0101,0.7720736336749311,0.6479720733722201,True
131,+0,0011,0.7526620128856162,0.6709554943147117,True
135,+0,0111,0.7599923307745764,0.6700265317384825,True
136,+0,1000,0.7613041731534625,0.6663803410844925,True
137,+0,1001,0.7654769354480008,0.6550098304624553,True
138,+0,1010,0.770072550686616,0.6466468409427565,True
139,+0,1011,0.7885415943702033,0.6641632792919386,True
140,+0,1100,0.7548029774279748,0.6571388803946971,True
134,+0,0110,0.739455243132595,0.6554428930286108,True
118,+1,0110,0.7759348819854583,0.6816182413153653,True
114,+1,0010,0.7760729321355884,0.6771590761128725,True
115,+1,0011,0.7095523055252464,0.6720189228302534,True
116,+1,0100,0.7738601670434291,0.6889730497847313,True
117,+1,0101,0.7554433654215336,0.6819794301042494,True
119,+1,0111,0.7465850211538979,0.6817833875150946,True
127,+1,1111,0.7642405488290569,0.675028506581477,True
121,+1,1001,0.7759155437004286,0.6815048938133457,True
122,+1,1010,0.8109777671720122,0.6767730207703768,True
123,+1,1011,0.7574559791446621,0.668449187955159,True
124,+1,1100,0.759462270320431,0.6882655934796781,True
125,+1,1101,0.7739567638220736,0.6819265921901675,True
126,+1,1110,0.7794473724215536,0.6843181934017268,True
120,+1,1000,0.8046873133069559,0.6920481384585278,True
112,+1,0000,0.779104938245362,0.6887888188811582,True
113,+1,0001,0.7315408273158283,0.68981410227222,True
262,+1,0110,0.626795798451266,1.0,False
257,+1,0001,0.5948134402342123,1.0,False
258,+1,0010,0.6235696305931192,1.0,False
259,+1,0011,0.5637844601716543,1.0,False
260,+1,0100,0.6255491757426298,1.0,False
261,+1,0101,0.608106661442232,1.0,False
263,+1,0111,0.5898846966227989,1.0,False
264,+1,1000,0.6534057088505938,1.0,False
265,+1,1001,0.62633063768268,1.0,False
266,+1,1010,0.6446273279505359,1.0,False
267,+1,1011,0.5963171550600435,1.0,False
268,+1,1100,0.6056035390138049,1.0,False
269,+1,1101,0.6223434310319069,1.0,False
256,+1,0000,0.6369992209161219,1.0,False
270,+1,1110,0.6196898050539369,1.0,False
271,+1,1111,0.6049659763606126,1.0,False
211,++,0011,0.5963967147076821,1.0,False
212,++,0100,0.590612459989231,1.0,False
213,++,0101,0.587109985167695,1.0,False
