name,qpu_width,mip_num_cuts,mip_subcircuits_num,mip_DataFlux,mip_Latency,mip_Fidelity,mip_min_latency,mip_QU,basic_num_cuts,basic_subcircuits_num,basic_DataFlux,basic_Latency,basic_Fidelity,basic_min_latency,basic_QU,error_num_cuts,error_subcircuits_num,error_DataFlux,error_Latency,error_Fidelity,error_min_latency,error_QU,latency_min_latency,latency_QU,width,depth,two_qubit_gate_num,one_qubit_gate_num,size,qubit_utilizztion,fidelity,latency_all
wstate_indep_qiskit_114,50,4.0,3.0,288.0,2.63e-05,0.8474369543602851,1.645e-05,0.1680046919467836,4.0,3.0,256,2.745e-05,0.8474369559710918,9.800000000000004e-06,0.1711634120003185,4.0,3.0,256,2.745e-05,0.8474369559710918,9.800000000000004e-06,0.1711634120003185,9.800000000000004e-06,0.1711634120003185,114,228,226,227,453,0.06373009693096682,0.953629614743949,6.314999999999999e-05
wstate_indep_qiskit_114,65,2.0,2.0,32.0,3.1849999999999995e-05,0.8491343178224959,3.1799999999999994e-05,0.2844757968110992,2.0,2.0,32,3.5699999999999994e-05,0.8491343178224959,2.7949999999999995e-05,0.2840582192452501,2.0,2.0,32,3.5699999999999994e-05,0.8491343178224959,2.7949999999999995e-05,0.2840582192452501,2.7949999999999995e-05,0.2840582192452501,114,228,226,227,453,0.06373009693096682,0.953629614743949,6.314999999999999e-05
wstate_indep_qiskit_115,27,10.0,5.0,1040.0,1.4200000000000005e-05,0.8411693641631165,1.0950000000000004e-05,0.0599573071367049,8.0,5.0,256,1.4800000000000002e-05,0.8428542043074111,8.150000000000003e-06,0.0646590590706982,8.0,5.0,256,1.4800000000000002e-05,0.8428542043074111,8.150000000000003e-06,0.0646590590706982,8.150000000000003e-06,0.0646590590706982,115,230,228,229,457,0.06320276619331672,0.9532290903057565,6.369999999999999e-05
wstate_indep_qiskit_115,50,4.0,3.0,272.0,2.69e-05,0.8462339514171343,1.645e-05,0.1656006842666104,4.0,3.0,256,2.745e-05,0.8462339514171344,1.0350000000000004e-05,0.1699562472757382,4.0,3.0,256,2.745e-05,0.8462339514171344,1.0350000000000004e-05,0.1699562472757382,1.0350000000000004e-05,0.1699562472757382,115,230,228,229,457,0.06320276619331672,0.9532290903057565,6.369999999999999e-05
wstate_indep_qiskit_115,65,2.0,2.0,32.0,3.5149999999999994e-05,0.8479289037276013,2.9049999999999995e-05,0.2837736295990864,2.0,2.0,32,3.5699999999999994e-05,0.8479289037276013,2.8499999999999995e-05,0.2837617233128069,2.0,2.0,32,3.5699999999999994e-05,0.8479289037276013,2.8499999999999995e-05,0.2837617233128069,2.8499999999999995e-05,0.2837617233128069,115,230,228,229,457,0.06320276619331672,0.9532290903057565,6.369999999999999e-05
wstate_indep_qiskit_12,5,6.0,4.0,288.0,2.65e-06,0.977614621428052,1.6e-06,0.4504892496709083,6.0,4.0,256,2.7e-06,0.9776146251445484,1.55e-06,0.4879569556471808,6.0,4.0,256,2.7e-06,0.9776146251445484,1.55e-06,0.4879569556471808,1.55e-06,0.4879569556471808,12,24,22,23,45,0.42206016408386504,0.9953797777127779,7.050000000000003e-06
wstate_indep_qiskit_12,10,2.0,2.0,32.0,3.799999999999999e-06,0.9815347458331208,3.7499999999999992e-06,0.5397243107769423,2.0,2.0,32,5.450000000000001e-06,0.9815347458331208,2.1e-06,0.5783147662734817,2.0,2.0,32,5.450000000000001e-06,0.9815347458331208,2.1e-06,0.5783147662734817,2.1e-06,0.5783147662734817,12,24,22,23,45,0.42206016408386504,0.9953797777127779,7.050000000000003e-06
wstate_indep_qiskit_69,16,8.0,5.0,272.0,8.750000000000004e-06,0.8997717015467861,7.650000000000003e-06,0.0906571764002086,8.0,5.0,256,8.750000000000004e-06,0.8997717032570707,7.050000000000003e-06,0.090738884775132,8.0,5.0,256,8.750000000000004e-06,0.8997717032570707,7.050000000000003e-06,0.090738884775132,7.050000000000003e-06,0.090738884775132,69,138,136,137,273,0.10203207028320406,0.9718284738641816,3.839999999999999e-05
wstate_indep_qiskit_69,27,4.0,3.0,288.0,1.4200000000000005e-05,0.9033796811856998,1.1500000000000003e-05,0.1938484162794801,4.0,3.0,256,1.4800000000000002e-05,0.9033796829028428,1.0350000000000004e-05,0.1925113144988306,4.0,3.0,256,1.4800000000000002e-05,0.9033796829028428,1.0350000000000004e-05,0.1925113144988306,1.0350000000000004e-05,0.1925113144988306,69,138,136,137,273,0.10203207028320406,0.9718284738641816,3.839999999999999e-05
wstate_indep_qiskit_69,50,2.0,2.0,32.0,2.305e-05,0.9051890944470152,1.585e-05,0.3063735894494847,2.0,2.0,32,2.745e-05,0.9051890944470152,1.1450000000000004e-05,0.3118042104569416,2.0,2.0,32,2.745e-05,0.9051890944470152,1.1450000000000004e-05,0.3118042104569416,1.1450000000000004e-05,0.3118042104569416,69,138,136,137,273,0.10203207028320406,0.9718284738641816,3.839999999999999e-05
wstate_indep_qiskit_69,65,2.0,2.0,32.0,2.47e-05,0.9051890944470152,1.4200000000000005e-05,0.3075250422915361,2.0,2.0,32,3.5699999999999994e-05,0.9051890944470152,3.1999999999999994e-06,0.3887005763843999,2.0,2.0,32,3.5699999999999994e-05,0.9051890944470152,3.1999999999999994e-06,0.3887005763843999,3.1999999999999994e-06,0.3887005763843999,69,138,136,137,273,0.10203207028320406,0.9718284738641816,3.839999999999999e-05
