qpu_width,name,mip_num_cuts,mip_subcircuits_num,mip_DataFlux,mip_Latency,mip_Fidelity,mip_min_latency,mip_QU,basic_num_cuts,basic_subcircuits_num,basic_DataFlux,basic_Latency,basic_Fidelity,basic_min_latency,basic_QU,error_num_cuts,error_subcircuits_num,error_DataFlux,error_Latency,error_Fidelity,error_min_latency,error_QU,latency_num_cuts,latency_subcircuits_num,latency_DataFlux,latency_Latency,latency_Fidelity,latency_min_latency,latency_QU
30,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,8,1.4650000000000005e-05,0.9615130759273671,1e-06,0.44842624194160025
15,ghz_nativegates_ibm_qiskit_opt3_32,2.0,3.0,24.0,6.500000000000001e-06,0.9605515724588766,4e-06,0.2105100940052396,,,,,,,,,,,,,,,,,,,,,
15,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,,,,,,,,2.0,3.0,24,7.150000000000001e-06,0.9605515724588767,1.5e-06,0.2446969696969696,,,,,,,
30,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,,,,,,,,1.0,2.0,8,1.4650000000000005e-05,0.9615130759273671,1e-06,0.44842624194160025,,,,,,,
25,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,1.0,2.0,8,1.2150000000000004e-05,0.9615130759273671,3.4999999999999995e-06,0.34104938271604934,,,,,,,,,,,,,,
10,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,40,4.6499999999999995e-06,0.9595910304842477,2e-06,0.15445161290322584
25,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,8,1.2150000000000004e-05,0.9615130759273671,3.4999999999999995e-06,0.34104938271604934
25,ghz_nativegates_ibm_qiskit_opt3_32,1.0,2.0,8.0,1.0150000000000003e-05,0.961513075927367,5.500000000000001e-06,0.32334428024083184,,,,,,,,,,,,,,,,,,,,,
25,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,,,,,,,,1.0,2.0,8,1.2150000000000004e-05,0.9615130759273671,3.4999999999999995e-06,0.34104938271604934,,,,,,,
27,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,8,1.3150000000000005e-05,0.9615130759273672,2.4999999999999998e-06,0.3615453222550814
15,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,2.0,3.0,24,7.150000000000001e-06,0.9605515724588767,1.5e-06,0.2446969696969696,,,,,,,,,,,,,,
30,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,1.0,2.0,8,1.4650000000000005e-05,0.9615130759273671,1e-06,0.44842624194160025,,,,,,,,,,,,,,
16,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,,,,,,,,2.0,3.0,24,7.650000000000001e-06,0.9605515724588765,5e-07,0.32123161764705865,,,,,,,
16,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,24,7.650000000000001e-06,0.9605515724588765,5e-07,0.32123161764705865
27,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,,,,,,,,1.0,2.0,8,1.3150000000000005e-05,0.9615130759273672,2.4999999999999998e-06,0.3615453222550814,,,,,,,
10,ghz_nativegates_ibm_qiskit_opt3_32,3.0,4.0,40.0,4.5e-06,0.9595910304842475,2.9999999999999997e-06,0.14736087205966725,,,,,,,,,,,,,,,,,,,,,
16,ghz_nativegates_ibm_qiskit_opt3_32,2.0,3.0,24.0,7.000000000000002e-06,0.9605515724588766,4e-06,0.21224611708482677,,,,,,,,,,,,,,,,,,,,,
10,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,,,,,,,,3.0,4.0,40,4.6499999999999995e-06,0.9595910304842477,2e-06,0.15445161290322584,,,,,,,
30,ghz_nativegates_ibm_qiskit_opt3_32,1.0,2.0,8.0,1.0150000000000003e-05,0.961513075927367,5.500000000000001e-06,0.32334428024083184,,,,,,,,,,,,,,,,,,,,,
20,ghz_nativegates_ibm_qiskit_opt3_32,,,,,,,,1.0,2.0,8,9.650000000000002e-06,0.961513075927367,6.000000000000001e-06,0.32134316460741313,,,,,,,,,,,,,,
16,peexact_nativegates_ibm_qiskit_opt3_39,,,,,,,,,,,,,,,,,,,,,,148.0,13.0,4294967296,2.5749999999999996e-05,0.6546352609199646,9.100000000000003e-06,0.008575198887967199
10,peexact_nativegates_ibm_qiskit_opt3_39,,,,,,,,239.0,29.0,1048576,1.4450000000000004e-05,0.5977177146021061,1.15e-06,6.214646421391904e-05,,,,,,,,,,,,,,
27,peexact_nativegates_ibm_qiskit_opt3_39,,,,,,,,,,,,,,,87.0,5.0,18014398509481984,4.099999999999998e-05,0.6957047856304246,1.7950000000000003e-05,0.07204834218271094,,,,,,,
27,peexact_nativegates_ibm_qiskit_opt3_39,,,,,,,,,,,,,,,,,,,,,,87.0,5.0,18014398509481984,4.099999999999998e-05,0.6957047856304246,1.7950000000000003e-05,0.07204834218271094
16,peexact_nativegates_ibm_qiskit_opt3_39,,,,,,,,,,,,,,,148.0,13.0,4294967296,2.5749999999999996e-05,0.6546352609199646,9.100000000000003e-06,0.008575198887967199,,,,,,,
16,peexact_nativegates_ibm_qiskit_opt3_39,,,,,,,,159.0,14.0,4294967296,2.5099999999999997e-05,0.6474839601573973,8.600000000000002e-06,0.005774964433076655,,,,,,,,,,,,,,
27,peexact_nativegates_ibm_qiskit_opt3_39,,,,,,,,87.0,5.0,18014398509481984,4.099999999999998e-05,0.6957047856304246,1.7950000000000003e-05,0.07204834218271094,,,,,,,,,,,,,,
10,peexact_nativegates_ibm_qiskit_opt3_39,,,,,,,,,,,,,,,,,,,,,,226.0,28.0,1048576,1.4450000000000004e-05,0.6055420181033514,5.9500000000000015e-06,0.00012185609469557043
10,peexact_nativegates_ibm_qiskit_opt3_39,,,,,,,,,,,,,,,226.0,28.0,1048576,1.4450000000000004e-05,0.6055420181033514,5.9500000000000015e-06,0.00012185609469557043,,,,,,,
65,graphstate_indep_qiskit_108,,,,,,,,,,,,,,,2.0,2.0,35,3.5499999999999995e-06,0.8756950225624325,1.55e-06,0.08833860412001843,,,,,,,
56,graphstate_indep_qiskit_108,,,,,,,,2.0,2.0,35,3.5499999999999995e-06,0.8756950225624323,1.55e-06,0.07566124956630893,,,,,,,,,,,,,,
66,graphstate_indep_qiskit_108,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,35,3.5499999999999995e-06,0.8756950225624325,1.55e-06,0.08833860412001843
71,graphstate_indep_qiskit_108,,,,,,,,0.0,2.0,4,3.5499999999999995e-06,0.8774490238918555,1.55e-06,0.14671802825772887,,,,,,,,,,,,,,
91,graphstate_indep_qiskit_108,,,,,,,,,,,,,,,0.0,2.0,4,3.5499999999999995e-06,0.8774490238918555,1.55e-06,0.14671802825772887,,,,,,,
76,graphstate_indep_qiskit_108,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,4,3.5499999999999995e-06,0.8774490238918555,1.55e-06,0.14671802825772887
101,graphstate_indep_qiskit_108,,,,,,,,,,,,,,,0.0,2.0,4,3.5499999999999995e-06,0.8774490238918555,1.55e-06,0.14671802825772887,,,,,,,
50,graphstate_indep_qiskit_108,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,35,3.5499999999999995e-06,0.8756950225624325,1.55e-06,0.08833860412001843
56,graphstate_indep_qiskit_108,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,35,3.5499999999999995e-06,0.8756950225624325,1.55e-06,0.08833860412001843
46,graphstate_indep_qiskit_108,,,,,,,,2.0,3.0,35,3.5499999999999995e-06,0.8756950225624323,1.55e-06,0.07566124956630893,,,,,,,,,,,,,,
61,graphstate_indep_qiskit_108,,,,,,,,2.0,2.0,35,3.5499999999999995e-06,0.8756950225624323,1.55e-06,0.07566124956630893,,,,,,,,,,,,,,
81,graphstate_indep_qiskit_108,,,,,,,,,,,,,,,0.0,2.0,4,3.5499999999999995e-06,0.8774490238918555,1.55e-06,0.14671802825772887,,,,,,,
46,graphstate_indep_qiskit_108,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,35,3.5499999999999995e-06,0.8756950225624325,1.55e-06,0.08833860412001843
106,graphstate_indep_qiskit_108,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,4,3.5499999999999995e-06,0.8774490238918555,1.55e-06,0.14671802825772887
86,graphstate_indep_qiskit_108,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,4,3.5499999999999995e-06,0.8774490238918555,1.55e-06,0.14671802825772887
51,graphstate_indep_qiskit_108,,,,,,,,2.0,3.0,35,3.5499999999999995e-06,0.8756950225624323,1.55e-06,0.07566124956630893,,,,,,,,,,,,,,
76,graphstate_indep_qiskit_108,,,,,,,,0.0,2.0,4,3.5499999999999995e-06,0.8774490238918555,1.55e-06,0.14671802825772887,,,,,,,,,,,,,,
27,graphstate_indep_qiskit_108,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,51,3.5499999999999995e-06,0.8748193371649039,1.55e-06,0.06490159774585237
96,graphstate_indep_qiskit_108,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,4,3.5499999999999995e-06,0.8774490238918555,1.55e-06,0.14671802825772887
